Case Number,Block,Description,Location Description,Arrest,Year,Latitude,Longitude
HX283092,017XX N LOCKWOOD AVE,GAME/DICE,SIDEWALK,True,2014,41.912,-87.758
HM591507,018XX S SAWYER AVE,GAME/DICE,STREET,True,2006,41.856,-87.707
HP540622,079XX S PHILLIPS AVE,GAME/DICE,ALLEY,True,2008,41.751,-87.565
HJ436160,075XX S COLES AVE,GAME/DICE,SIDEWALK,True,2003,41.759,-87.557
G433310,018XX W 60 ST,GAME/DICE,STREET,True,2001,41.785,-87.671
HT266958,048XX W MONROE ST,GAME/DICE,SIDEWALK,True,2011,41.879,-87.746
HT400760,007XX E 73RD ST,GAME/DICE,SIDEWALK,True,2011,41.762,-87.607
HK468155,059XX S PEORIA ST,GAME/DICE,SIDEWALK,True,2004,41.786,-87.647
G538602,054XX S LAFLIN ST,GAME/DICE,STREET,True,2001,41.795,-87.662
HS234981,061XX S MAY ST,GAME/DICE,ABANDONED BUILDING,True,2010,41.782,-87.653
HK530200,063XX S ARTESIAN AVE,GAME/DICE,SIDEWALK,True,2004,41.779,-87.685
HL713929,056XX W WASHINGTON BLVD,GAME/DICE,SIDEWALK,True,2005,41.882,-87.767
HH456945,057XX S CAMPBELL AVE,GAME/DICE,STREET,True,2002,41.789,-87.686
HL561422,0000X E 102ND PL,GAME/DICE,ALLEY,True,2005,41.708,-87.622
HP264958,001XX N LATROBE AVE,GAME/DICE,SIDEWALK,True,2008,41.884,-87.756
HN634478,079XX S BISHOP ST,GAME/DICE,RESIDENCE,True,2007,41.750,-87.660
HN617043,018XX S KOMENSKY AVE,GAME/DICE,SIDEWALK,True,2007,41.856,-87.726
HJ675388,017XX N MAYFIELD AVE,OTHER,SIDEWALK,True,2003,41.912,-87.773
HR160451,036XX W LEXINGTON ST,GAME/DICE,SIDEWALK,True,2009,41.872,-87.716
HS620108,077XX S INGLESIDE AVE,GAME/DICE,"SCHOOL, PUBLIC, BUILDING",True,2010,41.754,-87.602
HL290546,031XX W DOUGLAS BLVD,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2005,41.863,-87.704
HR402754,003XX N LONG AVE,GAME/DICE,SIDEWALK,True,2009,41.886,-87.760
HK509433,029XX E 91ST ST,GAME/DICE,SIDEWALK,True,2004,41.730,-87.553
HT342605,040XX W WASHINGTON BLVD,GAME/DICE,SIDEWALK,True,2011,41.882,-87.727
HV214483,020XX W 67TH PL,GAME/DICE,SIDEWALK,True,2012,41.771,-87.675
HR210030,047XX N KIMBALL AVE,GAME/AMUSEMENT DEVICE,RESTAURANT,True,2009,41.967,-87.713
HZ387347,007XX N LOTUS AVE,GAME/DICE,SIDEWALK,True,2016,41.893,-87.762
HR229265,014XX S MILLARD AVE,GAME/DICE,SIDEWALK,True,2009,41.862,-87.716
G581775,044XX W ARMITAGE AV,BOOKMAKING/HORSES,PARKING LOT/GARAGE(NON.RESID.),True,2001,41.917,-87.738
G033275,086XX S EUCLID AV,GAME/CARDS,RESIDENCE,True,2001,41.738,-87.577
HT559869,011XX S SPRINGFIELD AVE,GAME/DICE,SIDEWALK,True,2011,41.867,-87.723
HW435804,032XX W HURON ST,GAME/DICE,SIDEWALK,True,2013,41.894,-87.708
HH678382,004XX W EVERGREEN AVE,GAME/DICE,STREET,True,2002,41.907,-87.639
G391117,027XX W OGDEN AV,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2001,41.862,-87.694
HS233743,001XX N LAPORTE AVE,GAME/DICE,RESIDENCE PORCH/HALLWAY,True,2010,41.884,-87.749
HS525236,109XX S RACINE AVE,GAME/DICE,SIDEWALK,True,2010,41.695,-87.652
HK541263,013XX W 64TH ST,GAME/DICE,SIDEWALK,True,2004,41.778,-87.657
HM405589,009XX S ADA ST,GAME/DICE,CHA PARKING LOT/GROUNDS,True,2006,41.870,-87.660
HN591034,122XX S GREEN ST,GAME/DICE,ALLEY,True,2007,41.671,-87.643
HH553987,018XX W WELLINGTON AVE,GAME/AMUSEMENT DEVICE,TAVERN/LIQUOR STORE,True,2002,41.936,-87.675
HH785021,009XX S MAY ST,WIREROOM/SPORTS,STREET,True,2002,41.870,-87.655
HP507429,007XX N MENARD AVE,GAME/DICE,SIDEWALK,True,2008,41.894,-87.770
HN650356,053XX S COTTAGE GROVE AVE,GAME/DICE,SIDEWALK,True,2007,41.798,-87.606
